type_id;description
1; Akita 
1; Akita Americano 
1;Afgano
1;Airedale Terrier
1;Alaskan Malamute 
1;American Pitt Bull Terrier 
1;American Staffordshire Terrier
1;American Water Spaniel
1;Antiguo Pastor Inglés
1;Australian Kelpie
1;Australian Shepherd 
1;Barzoi 
1;Basset Azul de Gaseogne
1;Basset Hound
1;Basset leonado de Bretaña
1;Beagle
1;Bearded Collie
1;Beauceron 
1;Berger Blanc Suisse 
1;Bichón Frisé
1;Bichón Habanero 
1;Bichón Maltés
1;Bloodhound
1;Bobtail
1;Border Collie
1;Border Collie 
1;Borzoi 
1;Boston Terrier
1;Boxer
1;Boyero Australiano
1;Boyero de Flandes
1;Boyero de Montaña Bernés 
1;Braco Alemán
1;Braco de Weimar 
1;Braco Húngaro
1;Briard 
1;Bull Terrier
1;Bulldog Americano
1;Bulldog Francés
1;Bulldog Inglés
1;Bullmastiff
1;Ca de Bou 
1;Ca mè mallorquí 
1;Cane Corso
1;Caniche
1;Carlino
1;Chien de Saint Hubert 
1;Chihuahua
1;Chino Crestado
1;Chow Chow
1;Cirneco del Etna
1;Cocker Spaniel Americano
1;Cocker Spaniel Inglés
1;Collie
1;Coton de Tuléar 
1;Dachshunds 
1;Dálmata
1;Deutsch Drahthaar
1;Deutsch Kurzhaar 
1;Dobermann
1;Dogo Alemán
1;Dogo Argentino
1;Dogo Canario 
1;Dogo de Burdeos
1;Drahthaar
1;English Springer Spaniel 
1;Epagneul Bretón
1;Eurasier
1;Fila Brasileiro 
1;Fox Terrier
1;Foxhound Americano
1;Foxhound Inglés
1;Galgo Afgano
1;Galgo Español
1;Galgo Italiano
1;Galgo Ruso
1;Gigante de los Pirineos
1;Golden Retriever
1;Gos d'Atura
1;Gran Danés
1;Gran Perro Japonés 
1;Husky Siberiano
1;Irish Wolfhound
1;Jack Russel
1;Japanes Chin
1;Kelpie 
1;Kerry Blue
1;Komondor
1;Kuvasz 
1;Labrador Retriever
1;Laika de Siberia Occidental
1;Laika Ruso-europeo
1;Lebrel ruso 
1;Leonberger 
1;Lhasa Apso
1;Magyar Vizsla
1;Maltés
1;Mastín del Alentejo 
1;Mastín del Pirineo
1;Mastin del Tibet
1;Mastín Español
1;Mastín Napolitano
1;Norfolk Terrier
1;Ovtcharka 
1;Pachón Navarro 
1;Pastor Alemán
1;Pastor Australiano
1;Pastor Belga
1;Pastor Blanco Suizo 
1;Pastor de Beauce
1;Pastor de Brie
1;Pastor de los Pirineos de Cara Rosa
1;Pastor de Shetland 
1;Pastor del Cáucaso 
1;Pekinés
1;Perdiguero Burgos 
1;Perdiguero Chesapeake Bay
1;Perdiguero de Drentse
1;Perdiguero de Pelo lido
1;Perdiguero de pelo rizado
1;Perdiguero Portugués
1;Perro Crestado Chino
1;Perro de Aguas
1;Perro sin pelo de Mexico 
1;Perro sin pelo del Perú
1;Pinscher miniatura 
1;Pitbull
1;Podenco Andaluz
1;Podenco Ibicenco
1;Podenco Portugués
1;presa canario
1;Presa Mallorquin
1;Rafeiro do Alentejo 
1;Rottweiler
1;Rough Collie
1;Sabueso Español
1;Sabueso Hélenico
1;Sabueso Italiano
1;Sabueso Suizo
1;Saint Hubert 
1;Saluki
1;Samoyedo
1;San Bernardo
1;Schnaucer
1;Scottish Terrier
1;Sealyhalm Terrier
1;Setter Gordon
1;Setter Irlandés
1;Shar Pei
1;Shiba 
1;Shiba Inu
1;Shih Tzu 
1;Siberian Husky
1;Smooth Collie
1;Spaniel Japonés 
1;Spinone Italiano 
1;Spitz Alemán 
1;Springer Spaniel Inglés
1;Staffordshire Bull Terrier
1;Teckel
1;Terranova
1;Terrier Australiano
1;Terrier Escocés
1;Terrier Irlandés
1;Terrier Japonés
1;Terrier Negro Ruso
1;Terrier Norfolk
1;Terrier Ruso
1;Tibetan Terrier
1;Vizsla 
1;Welhs Terrier
1;West Highland T.
1;Wolfspitz
1;Xoloitzquintle 
1;Yorkshire Terrier
